index Energytype
0 All
1 Wind
2 Solar
3 Biogas
4 HeatPump
8 Cofiring
9 Geothermal
10 Other
11 Waste
12 BioOil
13 Biomass
14 Wood
17 WindOffshore
18 FossilGasPower
19 FossilHardCoal
20 Nuclear
21 WastePower
22 WindOffshoreB
23 NaturalGas
24 Biomethane
25 BiomassPower
26 OtherPower
27 ElectricityMix
28 GasMix
31 GasDistribution
35 WKK_Total
50 SolarThermal
51 WindOffshoreC
53 IndustrialConsumersGasCombination
54 IndustrialConsumersPowerGasCombination
55 LocalDistributionCompaniesCombination
56 AllConsumingGas
